Course Data file,,,2019 August,,,,,
This file contains the data of coursera courses,,,,,,,,
s no,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,num_students,usa_students,course_length
0,IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480000,177600,210
1,Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310000,,275
2,The Science of Well-Being,Yale University,COURSE,4.9,Mixed,2500000,825000,50
3,Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner,1500000,,141
4,Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350000,,585
5,Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,690000,96600,264
6,Machine Learning,Stanford University,COURSE,4.9,,3200000,,25
7,Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,510000,,264
8,Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220000,,245
9,Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310000,,395
10,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310000,,140
11,Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,240000,,182
12,IBM Applied AI,,PROFESSIONAL CERTIFICATE,4.6,Beginner,220000,,217
13,Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830000,,278
14,Financial Markets,Yale University,COURSE,4.8,Beginner,470000,,60
15,Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,740000,133200,142
16,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260000,,220
17,Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,280000,,188
18,Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300000,,159
19,Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300000,,187
20,Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,290000,,199
21,COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner,220000,39600,15
22,Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120000,,287
23,Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,160000,,249
24,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,120000,37200,167
25,Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93000,16740,428
26,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480000,,157
27,TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170000,,188
28,Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,380000,,201
29,Introduction to Psychology,Yale University,COURSE,4.9,Beginner,270000,99900,35
30,Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,230000,,179
31,Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,440000,,255
32,Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89000,,233
33,Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110000,33000,291
34,IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140000,39200,208
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13000,1560,231
